INFO  - 2020-06-30 14:48:59.008; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@75fe8a51[collection1] main{StandardDirectoryReader(segments_1b:111:nrt _15(4.10.3):C2125 _16(4.10.3):C1 _17(4.10.3):C1)}
INFO  - 2020-06-30 14:48:59.012; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2020-06-30 14:48:59.015; org.apache.solr.servlet.SolrDispatchFilter; user.dir=D:\WorkSpace\WebStorm_Workspaces\VueDemo
INFO  - 2020-06-30 14:48:59.015; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2020-06-30 14:49:17.998; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1154583156
INFO  - 2020-06-30 14:49:18.001; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@5161290d
INFO  - 2020-06-30 14:49:18.003; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0,transaction_logs_total_size=359109,transaction_logs_total_number=10}
INFO  - 2020-06-30 14:49:18.004; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2020-06-30 14:49:18.004; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2020-06-30 14:49:18.004; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2020-06-30 14:49:18.023; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2020-06-30 14:49:18.033; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2020-06-30 14:49:18.034; org.apache.solr.core.CachingDirectoryFactory; looking to close D:\WorkSpace\solr\solrHome\collection1\data [CachedDir<<refCount=0;path=D:\WorkSpace\solr\solrHome\collection1\data;done=false>>]
INFO  - 2020-06-30 14:49:18.034; org.apache.solr.core.CachingDirectoryFactory; Closing directory: D:\WorkSpace\solr\solrHome\collection1\data
INFO  - 2020-06-30 14:49:18.035; org.apache.solr.core.CachingDirectoryFactory; looking to close D:\WorkSpace\solr\solrHome\collection1\data\index [CachedDir<<refCount=0;path=D:\WorkSpace\solr\solrHome\collection1\data\index;done=false>>]
INFO  - 2020-06-30 14:49:18.037; org.apache.solr.core.CachingDirectoryFactory; Closing directory: D:\WorkSpace\solr\solrHome\collection1\data\index
INFO  - 2020-06-30 14:51:40.081; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2020-06-30 14:51:40.114; org.apache.solr.core.SolrResourceLoader; Using JNDI solr.home: D:\WorkSpace\solr\solrHome
INFO  - 2020-06-30 14:51:40.117; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'D:\WorkSpace\solr\solrHome\'
INFO  - 2020-06-30 14:51:40.453; org.apache.solr.core.ConfigSolr; Loading container configuration from D:\WorkSpace\solr\solrHome\solr.xml
INFO  - 2020-06-30 14:51:40.594; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: D:\WorkSpace\solr\solrHome
INFO  - 2020-06-30 14:51:40.606; org.apache.solr.core.CoreContainer; New CoreContainer 260911071
INFO  - 2020-06-30 14:51:40.606; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=D:\WorkSpace\solr\solrHome\]
INFO  - 2020-06-30 14:51:40.650; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2020-06-30 14:51:40.651; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2020-06-30 14:51:40.658; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2020-06-30 14:51:40.659; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2020-06-30 14:51:40.660; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2020-06-30 14:51:40.660; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2020-06-30 14:51:40.661; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2020-06-30 14:51:40.662; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2020-06-30 14:51:40.662; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2020-06-30 14:51:41.052; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2020-06-30 14:51:41.056; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2020-06-30 14:51:41.058; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2020-06-30 14:51:41.060; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2020-06-30 14:51:41.140; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath D:\WorkSpace\solr\solrHome
INFO  - 2020-06-30 14:51:41.162; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in D:\WorkSpace\solr\solrHome\collection1\
INFO  - 2020-06-30 14:51:41.163; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2020-06-30 14:51:41.166; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'D:\WorkSpace\solr\solrHome\collection1\'
INFO  - 2020-06-30 14:51:41.266; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2020-06-30 14:51:41.269; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\contrib\extraction\lib).
WARN  - 2020-06-30 14:51:41.270; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\dist).
WARN  - 2020-06-30 14:51:41.271; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\contrib\clustering\lib).
WARN  - 2020-06-30 14:51:41.272; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\dist).
WARN  - 2020-06-30 14:51:41.274; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\contrib\langid\lib).
WARN  - 2020-06-30 14:51:41.275; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\dist).
WARN  - 2020-06-30 14:51:41.280; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\contrib\velocity\lib).
WARN  - 2020-06-30 14:51:41.281; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\dist).
INFO  - 2020-06-30 14:51:41.344; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2020-06-30 14:51:41.354; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.3
INFO  - 2020-06-30 14:51:41.553; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2020-06-30 14:51:41.572; org.apache.solr.schema.IndexSchema; Reading Solr Schema from D:\WorkSpace\solr\solrHome\collection1\conf\schema.xml
INFO  - 2020-06-30 14:51:41.635; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2020-06-30 14:51:42.213; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2020-06-30 14:51:42.245; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2020-06-30 14:51:42.247; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2020-06-30 14:51:42.402; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2020-06-30 14:51:42.407; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2020-06-30 14:51:42.527; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir D:\WorkSpace\solr\solrHome\collection1\
INFO  - 2020-06-30 14:51:42.589; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2020-06-30 14:51:42.606; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at D:\WorkSpace\solr\solrHome\collection1\, dataDir=D:\WorkSpace\solr\solrHome\collection1\data\
INFO  - 2020-06-30 14:51:42.609; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@61064425
INFO  - 2020-06-30 14:51:42.669; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
